""	"x"
"955"	9656
"956"	9668
"957"	9717
"958"	9718
"959"	9728
"960"	9729
"961"	9733
"962"	9738
"963"	9746
"964"	9762
"965"	9768
"966"	9770
"967"	9772
"968"	9784
"969"	9785
"970"	9789
"971"	9801
"972"	9845
"973"	9851
"974"	9866
"975"	9895
"976"	9902
"977"	9907
"978"	9924
"979"	9943
"980"	9945
"981"	9959
"982"	9973
"983"	10016
"984"	10024
"985"	10045
"986"	10047
"987"	10057
"988"	10063
"989"	10080
"990"	10083
"991"	10120
"992"	10128
"993"	10142
"994"	10151
"995"	10156
"996"	10160
"997"	10191
"998"	10196
"999"	10218
"1000"	10222
"1001"	10230
"1002"	10244
"1003"	10304
"1004"	10309
"1005"	10327
"1006"	10333
"1007"	10341
"1008"	10377
"1009"	10392
"1010"	10399
"1011"	10402
"1012"	10404
"1013"	10437
"1014"	10440
"1015"	10461
"1016"	10469
"1017"	10495
"1018"	10513
"1019"	10543
"1020"	10547
"1021"	10564
"1022"	10585
"1023"	10605
"1024"	10616
"1025"	10622
"1026"	10637
"1027"	10652
"1028"	10656
"1029"	10665
"1030"	10690
"1031"	10692
"1032"	10696
"1033"	10701
"1034"	10702
"1035"	10711
"1036"	10738
"1037"	10751
"1038"	10767
"1039"	10784
"1040"	10815
"1041"	10816
"1042"	10823
"1043"	10830
"1044"	10834
"1045"	10844
"1046"	10847
"1047"	10851
"1048"	10858
"1049"	10874
"1050"	10875
"1051"	10876
"1052"	10877
"1053"	10892
"1054"	10910
"1055"	10918
"1056"	10919
"1057"	10923
"1058"	10934
"1059"	10935
"1060"	10975
"1061"	10978
"1062"	10980
"1063"	10994
"1064"	10999
"1065"	11000
"1066"	11001
"1067"	11007
"1068"	11014
"1069"	11021
"1070"	11030
"1071"	11032
"1072"	11044
"1073"	11050
"1074"	11053
"1075"	11054
"1076"	11058
"1077"	11062
"1078"	11067
"1079"	11078
"1080"	11089
"1081"	11095
"1082"	11110
"1083"	11111
"1084"	11113
"1085"	11136
"1086"	11137
"1087"	11144
"1088"	11165
"1089"	11168
"1090"	11174
"1091"	11181
"1092"	11209
"1093"	11212
"1094"	11221
"1095"	11227
"1096"	11230
"1097"	11238
"1098"	11248
"1099"	11251
"1100"	11252
"1101"	11253
"1102"	11281
"1103"	11285
"1104"	11289
"1105"	11299
"1106"	11304
"1107"	11309
"1108"	11311
"1109"	11321
"1110"	11325
"1111"	11333
"1112"	11345
"1113"	11350
"1114"	11351
"1115"	11373
"1116"	11386
"1117"	11390
"1118"	11391
"1119"	11412
"1120"	11413
"1121"	11418
"1122"	11433
"1123"	11446
"1124"	11448
"1125"	11450
"1126"	11461
"1127"	11482
"1128"	11504
"1129"	11511
"1130"	11516
"1131"	11524
"1132"	11536
"1133"	11554
"1134"	11555
"1135"	11561
"1136"	11570
"1137"	11576
"1138"	11580
"1139"	11593
"1140"	11597
"1141"	11598
"1142"	11614
"1143"	11653
"1144"	11655
"1145"	11659
"1146"	11665
"1147"	11680
"1148"	11681
"1149"	11683
"1150"	11712
"1151"	11722
"1152"	11723
"1153"	11734
"1154"	11738
"1155"	11743
"1156"	11766
"1157"	11778
"1158"	11793
"1159"	11821
"1160"	11832
"1161"	11838
"1162"	11846
"1163"	11851
"1164"	11863
"1165"	11877
"1166"	11879
"1167"	11882
"1168"	11885
"1169"	11886
"1170"	11888
"1171"	11891
"1172"	11892
"1173"	11919
"1174"	11941
"1175"	11947
"1176"	11956
"1177"	11957
"1178"	11968
"1179"	11980
"1180"	11982
"1181"	12004
"1182"	12010
"1183"	12011
"1184"	12035
"1185"	12058
"1186"	12073
"1187"	12078
"1188"	12079
"1189"	12121
"1190"	12139
"1191"	12150
"1192"	12155
"1193"	12169
"1194"	12173
"1195"	12175
"1196"	12185
"1197"	12189
"1198"	12197
"1199"	12198
"1200"	12215
"1201"	12220
"1202"	12254
"1203"	12262
"1204"	12263
"1205"	12277
"1206"	12287
"1207"	12289
"1208"	12306
"1209"	12335
"1210"	12337
"1211"	12351
"1212"	12358
"1213"	12361
"1214"	12365
"1215"	12383
"1216"	12385
"1217"	12403
"1218"	12406
"1219"	12427
"1220"	12443
"1221"	12445
"1222"	12470
"1223"	12486
"1224"	12500
"1225"	12518
"1226"	12528
"1227"	12556
"1228"	12562
"1229"	12568
"1230"	12569
"1231"	12571
"1232"	12575
"1233"	12611
"1234"	12620
"1235"	12647
"1236"	12671
"1237"	12674
"1238"	12679
"1239"	12687
"1240"	12693
"1241"	12711
"1242"	12754
"1243"	12768
"1244"	12772
"1245"	12776
"1246"	12785
"1247"	12795
"1248"	12804
"1249"	12805
"1250"	12818
"1251"	12821
"1252"	12822
"1253"	12823
"1254"	12831
"1255"	12841
"1256"	12849
"1257"	12864
"1258"	12866
"1259"	12874
"1260"	12884
"1261"	12919
"1262"	12932
"1263"	12933
"1264"	12940
"1265"	12957
"1266"	12966
"1267"	12977
"1268"	12979
"1269"	12982
"1270"	12989
